# timestamps [seconds],pts
243935.833933,0
243935.865956,2098
243935.896010,4068
243935.931978,6425
243935.963948,8520
243935.999951,10879
243936.032035,12982
243936.064088,15083
243936.100681,17481
243936.131942,19530
243936.164154,21641
243936.267272,28398
243936.274432,28868
243936.300004,30543
243936.331947,32637
243936.367959,34997
243936.400220,37111
243936.431984,39193
243936.467980,41552
243936.500062,43654
243936.536062,46014
243936.568010,48107
243936.600144,50213
243936.635989,52562
243936.667972,54658
243936.700038,56760
243936.736154,59127
243936.767972,61212
243936.803998,63573
243936.835996,65670
243936.867963,67765
243936.903976,70125
243936.936046,72226
243936.972741,74631
243937.003978,76678
243937.036659,78820
243937.072022,81138
243937.103943,83230
243937.136126,85339
243937.173091,87761
243937.205304,89872
243937.239984,92145
243937.272232,94258
243937.304063,96344
243937.340027,98701
243937.371952,100794
243937.403997,102894
243937.440255,105270
243937.472717,107397
243937.520660,110539
243937.546792,112252
243937.572283,113922
243937.608152,116273
243937.640052,118364
243937.672195,120470
243937.708081,122822
243937.758149,126103
243937.776170,127284
243937.808118,129378
243937.840016,131468
243937.876025,133828
243937.908074,135928
243937.940065,138025
243937.976010,140381
243938.008026,142479
243938.066033,146280
243938.081076,147266
243938.108067,149035
243938.144139,151399
243938.176120,153495
243938.208362,155608
243938.244078,157948
243938.276113,160048
243938.312821,162453
243938.344004,164497
243938.376087,166600
243938.412018,168954
243938.444066,171055
243938.476280,173166
243938.512030,175509
243938.544143,177613
243938.579981,179962
243938.612063,182064
243938.644080,184162
243938.680081,186522
243938.712059,188617
243938.748126,190981
243938.780021,193071
243938.812479,195199
243938.848075,197531
243938.880024,199625
243938.912001,201721
243938.949025,204147
243938.980374,206202
243939.016077,208541
243939.048075,210638
243939.080098,212737
243939.116131,215098
243939.148211,217201
243939.180161,219295
243939.216069,221648
243939.248368,223764
243939.284085,226105
243939.316086,228202
243939.348096,230300
243939.385199,232732
243939.416315,234771
243939.448387,236873
243939.484205,239220
243939.516569,241341
243939.553122,243737
243939.584268,245778
243939.616093,247863
243939.652056,250220
243939.684173,252325
243939.716929,254472
243939.766596,257727
243939.786554,259035
243939.820690,261272
243939.852131,263332
243939.884238,265436
243939.920108,267787
243939.952130,269886
243939.984084,271980
243940.020144,274343
243940.052076,276436
243940.088155,278800
243940.120225,280902
243940.152098,282990
243940.188265,285361
243940.220235,287456
243940.256319,289821
243940.288165,291908
243940.320213,294008
243940.363448,296841
243940.395794,298961
243940.421500,300646
243940.456101,302913
243940.488133,305012
243940.524150,307373
243940.556179,309472
243940.588054,311561
243940.624080,313922
243940.656074,316019
243940.688073,318116
243940.724127,320478
243940.756083,322573
243940.792133,324935
243940.824081,327029
243940.856086,329126
243940.892552,331516
243940.924143,333586
243940.956173,335685
243940.992156,338044
243941.024234,340146
243941.060154,342500
243941.092109,344594
243941.124083,346689
243941.160233,349059
243941.192509,351174
243941.224698,353283
243941.260112,355604
243941.292116,357702
243941.328185,360065
243941.361005,362216
243941.392173,364259
243941.428181,366619
243941.460222,368718
243941.492256,370818
243941.528244,373176
243941.573050,376113
243941.596512,377650
243941.628214,379728
243941.660327,381832
243941.696206,384184
243941.728121,386275
243941.764238,388642
243941.796886,390782
243941.828206,392834
243941.864215,395194
243941.896150,397287
243941.928272,399392
243941.964337,401756
243941.996527,403865
243942.032189,406202
243942.064202,408300
243942.096254,410401
243942.132233,412759
243942.164248,414857
243942.196363,416961
243942.232869,419354
243942.264232,421409
243942.300165,423764
243942.332261,425867
243942.364203,427961
243942.400314,430327
243942.432341,432426
243942.464259,434518
243942.500178,436872
243942.533759,439073
243942.568208,441330
243942.600139,443423
243942.632192,445523
243942.668855,447926
243942.700318,449988
243942.732503,452097
243942.768134,454432
243942.800196,456534
243942.836289,458899
243942.868509,461010
243942.900199,463087
243942.936257,465450
243942.968664,467574
243943.000210,469641
243943.036167,471998
243943.068241,474100
243943.104210,476457
243943.136275,478558
243943.168217,480652
243943.204345,483019
243943.236273,485112
243943.268386,487216
243943.304251,489567
243943.336231,491663
243943.372800,494059
243943.404209,496118
243943.437138,498276
243943.472166,500571
243943.504235,502673
243943.541140,505091
243943.572258,507131
243943.604233,509226
243943.640247,511586
243943.672281,513686
243943.704280,515783
243943.740269,518141
243943.772213,520235
243943.808480,522611
243943.840273,524695
243943.872888,526832
243943.908242,529149
243943.940286,531249
243943.972285,533346
243944.008366,535711
243944.040246,537800
243944.076270,540161
243944.108251,542257
243944.140261,544355
243944.176364,546721
243944.208387,548819
243944.240302,550911
243944.276261,553267
243944.308323,555369
243944.344276,557725
243944.376249,559820
243944.408236,561916
243944.444267,564278
243944.476366,566381
243944.509003,568520
243944.544224,570828
243944.576289,572930
